count,ep_reward_average,loss,td_error,qmean,eps,beta
0,NaN,0,0,0,1,0.4
5000,22.73,0,0,0,0.962,0.406
10000,22.48,1.1053333,1.0498458,-0.08575727,0.924,0.41200000000000003
15000,19.54,0.49585554,0.34538928,4.1507096,0.886,0.41800000000000004
20000,26.52,0.9939867,0.04842932,11.329912,0.848,0.42400000000000004
25000,34,1.997161,0.032361716,19.047703,0.81,0.43000000000000005
30000,43.72,2.684114,0.029838104,28.000904,0.772,0.436
35000,48.13,3.496234,0.03422432,36.655422,0.734,0.442
40000,47.15,4.3172345,0.031653464,44.70583,0.696,0.448
45000,52.13,6.0409665,0.030905437,53.62805,0.658,0.454
50000,64.92,7.413469,0.021493977,61.670357,0.62,0.46
55000,78.76,6.8341265,0.039473824,68.55185,0.582,0.466
60000,92.06,6.1998286,0.036773093,76.27715,0.544,0.47200000000000003
65000,111.56,6.192731,0.027937856,83.928696,0.506,0.47800000000000004
70000,135.75,4.365644,0.032807276,90.38448,0.468,0.484
75000,153.58,3.1312628,0.02111787,95.22818,0.43,0.49
80000,175.91,3.215127,0.022894016,96.98207,0.392,0.496
85000,190.36,2.090859,0.016464062,94.14181,0.354,0.502
90000,203.01,1.5142901,0.014974052,92.95546,0.316,0.508
95000,223.39,0.6134781,0.0156515,93.38275,0.278,0.514
100000,236.96,0.25746492,0.014480684,93.12085,0.24,0.52
105000,250.8,0.17172857,0.007550656,93.07603,0.202,0.526
110000,262.85,0.2536784,0.006506154,90.99207,0.164,0.532
115000,284.45,0.12416129,0.0057764524,91.5076,0.126,0.538
120000,298.29,0.11346593,0.00677253,91.76222,0.088,0.544
125000,312.83,0.07306437,0.0039664325,90.8784,0.05,0.55
130000,321.29,0.026908727,-0.0025905324,89.546,0.05,0.556
135000,336.81,0.01704435,-0.0019537061,88.602684,0.05,0.562
140000,348.69,0.023116415,-0.0009679413,88.51541,0.05,0.5680000000000001
145000,367.37,0.023435187,0.00076624297,90.988365,0.05,0.5740000000000001
150000,378.73,0.02219733,0.0001733489,91.49708,0.05,0.5800000000000001
155000,391.01,0.01866129,0.00064562866,90.3014,0.05,0.5860000000000001
160000,408,0.012685584,0.0008679308,91.708626,0.05,0.5920000000000001
165000,420.39,0.01118215,0.0011371356,95.272446,0.05,0.598
170000,434.24,0.011091723,0.0014352754,96.57553,0.05,0.604
175000,449.58,0.0073633334,0.0014358166,98.1628,0.05,0.61
180000,461.05,0.0060906583,0.0024070411,99.57692,0.05,0.616
185000,471.65,0.004578219,0.003199119,100.79474,0.05,0.622
190000,479.19,0.00537895,0.0036499568,100.53447,0.05,0.628
195000,487.04,0.006054581,0.0036209873,99.996735,0.05,0.634
200000,493.85,0.005053066,0.0038945293,101.22929,0.05,0.64
205000,496.65,0.0034494197,0.0044162683,101.7806,0.05,0.646
210000,499.23,0.0026150646,0.0027865053,101.88659,0.05,0.652
215000,499.48,0.002555944,0.0029725824,102.08163,0.05,0.658
220000,499.49,0.0030972308,0.0027656464,102.183044,0.05,0.664
225000,499.49,0.0027487995,0.002808578,101.89055,0.05,0.6699999999999999
230000,498.7,0.002239879,0.0023335,101.0346,0.05,0.6759999999999999
235000,498.7,0.0026527136,0.0026369728,100.22178,0.05,0.6819999999999999
240000,499.21,0.0015305832,0.0016054028,100.65416,0.05,0.688
245000,491.28,0.10979581,-0.00569498,101.17289,0.05,0.694
250000,491.28,0.13484378,-0.009947437,101.77405,0.05,0.7
255000,491.28,0.024710659,0.00040205897,102.81662,0.05,0.706
260000,491.28,0.00097494037,0.0019245247,103.46998,0.05,0.712
265000,491.28,0.00061241875,-0.00039055193,103.35545,0.05,0.718
270000,491.28,0.00087555085,0.00021504772,102.79863,0.05,0.724
275000,490.86,0.001946618,0.0006009376,99.50861,0.05,0.73
280000,491.65,0.0019254462,0.0010562735,97.99487,0.05,0.736
285000,491.25,0.0021310942,0.0014449842,98.58518,0.05,0.742
290000,491.25,0.0010786976,0.0017362648,99.466736,0.05,0.748
295000,499.18,0.0007011985,0.0019606901,100.95883,0.05,0.754
300000,499.18,0.0006390147,0.0019446237,101.66435,0.05,0.76
305000,499.18,0.0006913697,0.0014843683,101.37382,0.05,0.766
310000,499.18,0.0007587967,0.0012778064,101.426575,0.05,0.772
315000,499.18,0.0012813176,0.0021547396,101.3774,0.05,0.778
320000,499.18,0.0010956096,0.0034339486,101.393616,0.05,0.784
325000,499.6,0.0010689935,0.0026674871,101.38282,0.05,0.79
330000,499.6,0.00086211244,0.0025902917,101.46736,0.05,0.796
335000,500,0.00056696247,0.0018435824,101.360016,0.05,0.802
340000,500,0.0004166038,0.0016677921,101.20754,0.05,0.808
345000,500,0.00035329175,0.0012644076,101.3617,0.05,0.8140000000000001
350000,500,0.00038232902,0.0012037868,101.23204,0.05,0.8200000000000001
355000,500,0.0002896784,0.0013571332,100.97032,0.05,0.8260000000000001
360000,500,0.00019423531,0.0013530774,100.92499,0.05,0.8320000000000001
365000,500,0.00017949412,0.001257503,100.88392,0.05,0.8380000000000001
370000,500,0.00017202285,0.0012248346,100.76054,0.05,0.8440000000000001
375000,475.36,0.04815616,-0.005295731,100.75556,0.05,0.85
380000,466.17,0.108156726,-0.008930755,97.29731,0.05,0.856
385000,466.17,0.10840355,0.006826659,96.49199,0.05,0.862
