count,ep_reward_average,loss,td_error,qmean,eps
0,NaN,0,0,0,1
5000,22.24,0,0,0,0.981
10000,19.56,1.0343981,1.015966,0.09247271,0.962
15000,19.79,1.2319154,0.26315597,4.5163383,0.943
20000,24.89,2.9710176,0.048940446,11.866775,0.924
25000,27.21,5.4713264,0.028672582,19.110641,0.905
30000,28.59,6.951152,0.018905774,25.879677,0.886
35000,31.12,9.057297,0.025139976,33.433285,0.867
40000,33.36,10.842249,0.03211943,42.299694,0.848
45000,31.42,16.15134,0.029872166,52.389675,0.829
50000,30.54,21.692547,0.033506475,62.73049,0.81
55000,38.2,26.910183,0.03587551,73.86737,0.791
60000,40.85,37.21934,0.04458366,87.80142,0.772
65000,34.85,51.983692,0.05027616,102.706665,0.753
70000,39.48,62.960484,0.046279255,115.85076,0.734
75000,45.09,81.16635,0.035549536,128.46935,0.715
80000,53.12,99.276634,0.037487082,141.50096,0.696
85000,53.07,99.23979,0.03730563,154.32744,0.677
90000,57.99,114.19792,0.044958565,170.5679,0.658
95000,65.36,120.72888,0.050160106,185.02142,0.639
100000,74.72,132.01276,0.033762705,200.23433,0.62
105000,80.95,161.95439,0.031233344,211.17451,0.601
110000,92.05,169.95564,0.040002476,221.7396,0.582
115000,93.99,133.63275,0.023088325,227.68748,0.563
120000,96.98,111.33669,0.024990615,235.40671,0.544
125000,110.12,137.0723,-0.010561113,238.27776,0.525
130000,120.34,141.52054,0.007900878,238.61295,0.506
135000,131.06,143.5274,-0.004860838,241.25058,0.487
140000,135.04,113.99514,0.006017058,244.91241,0.468
145000,142.66,108.41919,-0.0037427177,244.1837,0.449
150000,147.07,101.60294,-0.019889431,241.45436,0.43
155000,154.91,99.62592,-0.008162184,240.2641,0.411
160000,171.81,72.11811,-0.017700985,233.79645,0.392
165000,184.51,52.04886,0.01238728,232.42514,0.373
170000,201.08,43.619858,-0.0031160112,226.02284,0.354
175000,213.62,44.58219,-0.0028189516,212.53333,0.335
180000,222.69,31.529255,0.027893772,202.40489,0.316
185000,224.56,24.634916,0.026358532,193.83266,0.297
190000,234.93,17.232634,0.007426838,190.24348,0.278
195000,244.11,15.623429,-0.0029296903,185.2589,0.259
200000,271.25,9.75037,-0.004501763,178.5208,0.24
205000,285.26,7.5922537,-0.0028858418,170.2089,0.221
210000,298.47,10.457777,-0.005423716,164.41457,0.202
215000,310.36,6.9574385,-0.0051739784,157.72916,0.183
220000,312.38,3.6089838,-0.0015581098,145.43608,0.164
225000,322.5,1.6610097,-0.0019266214,132.8728,0.145
230000,317.02,1.1707628,-0.003844526,123.73402,0.126
235000,310.92,1.2709996,-0.002380089,116.47186,0.107
240000,310.13,1.008588,-0.003518754,112.39163,0.088
245000,312.53,0.65381026,-0.0035496443,109.081604,0.069
250000,317.83,0.50110954,-0.0025535289,105.74667,0.05
255000,326.74,0.3952736,-0.001601901,103.55938,0.05
260000,337.9,0.40950474,-0.0014460578,101.53165,0.05
265000,353.32,0.41619462,-0.000702585,100.84422,0.05
270000,369.36,0.43847546,-0.0013869043,100.426765,0.05
