count,ep_reward_average,ep_step_average
0,0,0
5000,-168.93698,92
10000,-173.44638,99
15000,-166.83951,103
20000,-152.66637,103
25000,-142.47432,107
30000,-120.13497,109
35000,-105.191795,113
40000,-105.61055,115
45000,-105.50348,117
50000,-89.76187,118
55000,-76.45468,121
60000,-76.67344,123
65000,-75.61124,127
70000,-76.137146,132
75000,-73.09567,137
80000,-75.449066,139
85000,-58.568233,142
90000,-55.81541,145
95000,-49.193626,149
100000,-43.133,154
105000,-36.97717,158
110000,-29.944763,163
115000,-30.318659,167
120000,-31.901915,171
125000,-40.249336,175
130000,-41.464073,179
135000,-46.831066,184
140000,-46.96997,187
145000,-50.35645,192
150000,-53.994205,195
155000,-46.263546,199
160000,-55.36045,201
165000,-49.67215,204
170000,-41.56566,208
175000,-35.448856,211
180000,-33.049923,214
185000,-25.406553,218
190000,-18.877552,223
195000,-21.41393,227
200000,-19.3068,230
205000,-16.03473,234
210000,-12.487241,237
215000,-7.7007113,240
220000,0.18523148,245
225000,6.138241,248
230000,2.2892373,253
235000,-1.4655551,256
240000,1.6872475,260
245000,-2.321427,264
250000,-1.3644228,267
255000,3.4856708,271
260000,6.3987164,275
265000,8.55512,279
270000,11.397733,282
275000,13.041555,286
280000,11.9317665,289
285000,10.415993,293
290000,13.10076,297
295000,12.377926,300
300000,12.907894,303
305000,10.496474,306
310000,12.342815,310
315000,14.440848,313
320000,21.635517,316
325000,24.931528,319
330000,33.092716,322
335000,38.992172,325
340000,39.0385,328
345000,37.95993,330
350000,40.852383,333
355000,46.563194,336
360000,51.026417,338
365000,56.669018,341
370000,61.903996,343
375000,65.60005,345
380000,70.11218,348
385000,71.36497,350
390000,77.18045,353
395000,79.01642,355
400000,80.87279,358
405000,79.52661,360
410000,81.61242,363
415000,85.009636,365
420000,87.19381,368
425000,87.92012,370
430000,90.79893,372
435000,87.592285,375
440000,88.92298,377
445000,90.53081,379
450000,92.5712,381
455000,95.99809,383
460000,97.33072,385
465000,95.84093,387
470000,94.11876,390
475000,97.407234,392
480000,98.07069,393
485000,95.50768,395
490000,96.25381,398
495000,94.87347,400
500000,97.15052,401
505000,98.63585,403
510000,104.013,405
515000,104.32442,406
520000,105.54727,407
525000,108.24028,409
530000,110.885345,411
535000,116.71419,413
540000,117.992256,413
545000,119.92491,415
550000,124.70303,416
555000,127.26133,417
560000,129.62936,418
565000,127.26723,420
570000,127.03831,422
575000,127.47276,423
580000,130.953,424
585000,135.71971,426
590000,135.06686,427
595000,135.7626,429
600000,135.18755,431
605000,133.23576,432
610000,130.63243,433
615000,128.17474,435
620000,125.6094,437
625000,124.21751,439
630000,128.38422,440
635000,126.38941,441
640000,123.78997,442
645000,123.96201,443
650000,122.06826,443
655000,125.19467,445
660000,121.68086,447
665000,123.743065,448
670000,119.78104,450
675000,123.035736,450
680000,124.226494,452
685000,126.4653,454
690000,130.0801,455
695000,127.70423,456
700000,129.35498,456
705000,133.39066,457
710000,134.11568,458
715000,137.04643,459
720000,133.31572,459
725000,131.06526,460
730000,127.11593,461
735000,129.04483,462
740000,133.58316,463
745000,135.65338,463
750000,132.20903,464
755000,134.52539,464
760000,131.92406,465
765000,129.97722,466
770000,127.98349,467
775000,131.01022,468
780000,128.91565,469
785000,129.11482,471
790000,130.93517,472
795000,135.17151,472
800000,138.64723,473
805000,139.00642,474
810000,134.94324,474
815000,134.6382,475
820000,133.39894,475
825000,133.2842,476
830000,136.63202,477
835000,139.77928,478
840000,134.52475,478
845000,138.93623,480
850000,145.40372,480
855000,144.75998,481
860000,143.16118,482
865000,140.2157,483
870000,140.1381,483
875000,142.39432,483
880000,141.44853,484
885000,143.5362,485
890000,142.2895,486
895000,141.2344,487
900000,140.95459,488
905000,142.65627,488
910000,142.18675,489
915000,139.80252,491
920000,136.82808,491
925000,132.91803,491
930000,132.3254,492
935000,132.08829,492
940000,126.25272,492
945000,127.692276,492
950000,125.43015,493
955000,121.38442,494
960000,121.17103,495
965000,128.07312,494
970000,125.38919,495
975000,123.11341,495
980000,123.385666,495
985000,125.019135,496
990000,129.46375,496
995000,129.24652,497
1000000,131.63455,498
1005000,130.60913,498
1010000,129.6853,498
1015000,131.59189,499
1020000,135.22923,499
1025000,133.80165,499
1030000,134.10722,499
1035000,135.91313,499
1040000,140.1513,499
1045000,132.6377,500
1050000,129.5609,500
1055000,128.40694,501
1060000,132.14313,501
1065000,134.7346,502
1070000,137.71979,502
1075000,140.48093,503
1080000,137.91646,504
1085000,140.7973,504
1090000,142.6502,504
1095000,142.16934,505
1100000,136.53864,505
1105000,142.15826,505
1110000,142.74377,505
1115000,146.68251,505
1120000,140.4627,506
